Q,A,QE,AE
That's great.,I don't mind worrying about all the paperwork.  You know--,xxx,hap
So...,"Because, I don't have to like make that decision anymore.  I don't have to try and decide, like, what the bad school I'm going to go to is. you know",neu,hap
"Because, I don't have to like make that decision anymore.  I don't have to try and decide, like, what the bad school I'm going to go to is. you know","Right.  Right.  Right. Oh, man, then you're going to have to do orientation, I guess.",hap,hap
"Right.  Right.  Right. Oh, man, then you're going to have to do orientation, I guess.","I know. I know.  I think you go and you like stay for a couple of days and you meet people and--And they'll give you like a tour--And show you everything.  Oh, man, I'm just so--I'm so excited.",hap,hap
"I know. I know.  I think you go and you like stay for a couple of days and you meet people and--And they'll give you like a tour--And show you everything.  Oh, man, I'm just so--I'm so excited.",That'll be awesome.,hap,hap
"I mean because you went to the campus before, right?","Yeah, oh totally.  It's a beautiful campus.  It's gonna be really nice.  Um, and everyone is friendly and like there's ivy on all the walls.  Oh, it's just so--it's so like collegiate.",hap,hap
So what're you--what're you gonna do there?  Have you decided?  Thought about it?,"Well, you know, I've thought about it but they have so many things that I might--Like try some things out first...",xxx,hap
"I know.  I mean, it's good all around.","...because also on the list of their, um, like G.E.'s or whatever, you have a lot of choices within every single one.  So you can, like, try things out and not just be like, oh, I have to take math, oh, I have to take this.  You know what I mean?",xxx,hap
[LAUGHTER],I mean I'm gonna take a bunch of stuff and see.,xxx,hap
I mean I'm gonna take a bunch of stuff and see.,Oh man.,hap,hap
Oh man.,"I- They have like--they just have so many like prestigious like this school is top ten and like the departments within it, you know what I mean.",hap,hap
I always see people walking around with like U.S.C stuff on--,"I know, I get to be one of those now--I'll like walk around and be like a U.S.C..  You know what I mean.",xxx,hap
"You'll be like are you a fan or a student you know? Student. [LAUGHTER] Oh man, that's awesome.",And you'll be like...,hap,hap
[BREATHING],A U.S.C. graduate now. You're set.,hap,hap
A U.S.C. graduate now. You're set.,I know.  I'm excited.,hap,hap
"I know, that's a ways down the road. That's cool.",That's going to be a lot of work.,xxx,hap
In LA. Oh man.,"I know, and I mean the area's not great, but like the school makes up for it. It'll be fine. It'll be good.",xxx,hap
You're getting close to the beach.  I mean geez.,I know. I know. So fun.  I can't wait.,hap,hap
"Cool.  Well give me a call, you know when--You get in town. definitely Awesome.",I will. I will. Thank you.,xxx,hap
"Hi, my name is Shiloh, welcome to--Airline Six.  Hi, how may I help you?","Yeah, hello.",neu,fru
Ok.  I've- I've just been talking to this machine for the past half hour and I can't-can't get anything done.  I've been trying to book this vacation this entire time.,"All right, sir.",fru,neu
"All right, sir.","I know, I'm sorry.  It's-It's just that it's been a little frustrating because--",neu,fru
"I know, I'm sorry.  It's-It's just that it's been a little frustrating because--",I completely understand.  Automated systems are very difficult sometimes.,fru,neu
I completely understand.  Automated systems are very difficult sometimes.,Okay.,neu,neu
Okay.,"Um, how may I help you.  You're trying to book a specific flight?",neu,neu
"Um, how may I help you.  You're trying to book a specific flight?","Well, yeah, I mean I heard there was like these package deals and that maybe I could get a like a hotel or something like that. and-",neu,fru
"Well, yeah, I mean I heard there was like these package deals and that maybe I could get a like a hotel or something like that. and-","Oh, yeah, absolutely.  You know, and especially because you've been waiting so long and I know that, um, you've been having a difficult time.",fru,neu
"um lots of purchases, but we're gonna go ahead and give that to you anyway. uh,  Just to make sure that you're happy with your service here.",You- You can do that--You can do that now? I don't have to get like transferred through or anything like that.,neu,neu
You- You can do that--You can do that now? I don't have to get like transferred through or anything like that.,Is that all right?,neu,neu
All I'm going to need is your credit card number but just give me one moment. So-,[BREATHING] that's good.,neu,neu
[BREATHING] that's good.,"um, you're scheduling a flight as well--And you would like to, um, we have a highly discounted hotel rate that goes along with that so that everything is all in one deal.  You're taken care of by the time that you get there.",neu,neu
"um, you're scheduling a flight as well--And you would like to, um, we have a highly discounted hotel rate that goes along with that so that everything is all in one deal.  You're taken care of by the time that you get there.","All right.  I want to make sure it's like a nice hotel--I mean-mean I'm gonna be paying a lot of money for this so I don't wanna-I don't wanna, you know, I don't wanna to be a waste of time.",neu,neu
"All right.  I want to make sure it's like a nice hotel--I mean-mean I'm gonna be paying a lot of money for this so I don't wanna-I don't wanna, you know, I don't wanna to be a waste of time.",Absolutely. we we,neu,neu
"So, you will absolutely be in a high rated great hotel and we can make sure that it's in a area of town that you like as well.",Okay. So--,neu,neu
Okay. So--,Yeah.,neu,neu
Yeah.,"Well, you know, we wanted to--we wanted to go to Maui and--That was a",neu,neu
"Well, you know, we wanted to--we wanted to go to Maui and--That was a",Okay.,neu,neu
Okay.,"--you know, the kids wanna go to the beach and stuff and so--um",neu,neu
"--you know, the kids wanna go to the beach and stuff and so--um",Great.  How many seats?,neu,neu
Great.  How many seats?,"Well, it's gonna be four of them.",neu,neu
"Well, it's gonna be four of them.",Okay.  Great.  Four seats.  I'll book you for four seats.,neu,neu
Okay.  Great.  Four seats.  I'll book you for four seats.,All right.  And can they like all get together?,neu,neu
All right.  And can they like all get together?,"Oh, yeah, absolutely.  Um- Would you like window seats or aisles?",neu,neu
"Oh, yeah, absolutely.  Um- Would you like window seats or aisles?","Um- You know, window is nice. I guess",neu,neu
"Um- You know, window is nice. I guess","Okay, I can do um- a win- -two like a window and a aisle and a window and an aisle next to each other so that each of you can sit two by two. And switch around maybe?",neu,neu
"All right, Sure.  A yeah, that- that'd be good.",Okay.  Great.  What time of the day would you like?,xxx,neu
Okay.  Great.  What time of the day would you like?,"Uh, well, yeah, I think we were just--you know, whenever best available, I guess.  You know--",neu,neu
"Uh, well, yeah, I think we were just--you know, whenever best available, I guess.  You know--",All right.  Great.  Well we have a very open flight that leaves at nine a.m. and fortunately uh the time change actually goes um backwards from that.,neu,neu
"So, it's a five hour flight, but you'll arrive only at eleven a clock in the morning.  So that day, you can have plenty of time to get to your hotel--Rest up and then still have a nice afternoon your first afternoon in Maui.","And, like, there's there's shuttles or something that I can get to the hotel.",neu,neu
"And, like, there's there's shuttles or something that I can get to the hotel.",Absolutely.  That actually goes in on the same package with our hotel.  You just give me your address.  We'll come and pick up a time that allows you to get to your flight with plenty of time to spare.,neu,neu
"Okay.  Wow.  Sounds good then, I guess.  Thank you very much. It's a lot better than talking to a machine.",Yeah--I completely understand.  It's a difficult process sometimes and we want to make traveling as easy as possible.,xxx,neu
Yeah--I completely understand.  It's a difficult process sometimes and we want to make traveling as easy as possible.,All right.  So we're confirmed then or do you--All right.,neu,neu
All right.  So we're confirmed then or do you--All right.,Absolutely. Thank you so much for calling and we hope that you will come to us again.,neu,neu
Absolutely. Thank you so much for calling and we hope that you will come to us again.,Okay.,neu,neu
Okay.,Thank you.,neu,neu
All right. Finally. Here you go.,"Hi, How can I help you?",fru,neu
"Hi, How can I help you?","Yea. I just want to get this done,",neu,neu
"Yea. I just want to get this done,","Sure, um",neu,neu
"Sure, um",get my new license.,neu,neu
get my new license.,do you have two forms of ID with you?,neu,neu
do you have two forms of ID with you?,"Um, no, I got my driver's license though.",neu,neu
"Um, no, I got my driver's license though.","I actually need two forms of ID. I need either a passport or a birth certificate, or social security card. I'm sorry.",neu,neu
"I actually need two forms of ID. I need either a passport or a birth certificate, or social security card. I'm sorry.","Uh, sorry, I forgot them. I mean I've got to -",neu,neu
"Uh, sorry, I forgot them. I mean I've got to -",Well,neu,neu
Well,well is the dri-driver's license going to work?,neu,neu
well is the dri-driver's license going to work?,I- I can take your driver's license but I need another form of ID in order to process this paper work.,neu,neu
I- I can take your driver's license but I need another form of ID in order to process this paper work.,"Okay, so what are you saying? What-",neu,fru
"Okay, so what are you saying? What-","Um, that you would need to go home and get another form of ID and come back.",fru,neu
"Um, that you would need to go home and get another form of ID and come back.","What? I- You telling me I waited in that huge line to go and sit down and get my number called, like after",neu,ang
"What? I- You telling me I waited in that huge line to go and sit down and get my number called, like after","Well, I'm sorry sir but",ang,fru
"Well, I'm sorry sir but",three hours and,fru,ang
three hours and,you need to bring two forms of ID there is nothing we can do about it.,ang,fru
you need to bring two forms of ID there is nothing we can do about it.,Shouldn't they have like told us about that? I mean why - why would they make me go and wait three hours if I have got to go and do it again?,fru,ang
Shouldn't they have like told us about that? I mean why - why would they make me go and wait three hours if I have got to go and do it again?,"Well, it's actually-",ang,fru
"It's standard that you bring a couple of forms of ID, I'm sorry.","It's standard? I mean I don't work at the D.M.V. how am I supposed to know that, like, I stand in line, I get my",fru,ang
"It's standard? I mean I don't work at the D.M.V. how am I supposed to know that, like, I stand in line, I get my","Well, I'm sorry, sir, but we're not responsible.",ang,fru
"Well, I'm sorry, sir, but we're not responsible.","I filled out the application right, didn't I?",fru,ang
"I filled out the application right, didn't I?","Yes, you did, thank you very much, but we're not responsible if you've forgotten something, and we need to have two forms of ID.",ang,fru
"Yes, you did, thank you very much, but we're not responsible if you've forgotten something, and we need to have two forms of ID.",Okay. What about - no -- how about you hold that and I'll - I'll go and I can come back-,fru,fru
Okay. What about - no -- how about you hold that and I'll - I'll go and I can come back-,"I'm sorry, but there is a lot of people waiting so you're just going to have to get in line again.",fru,fru
"I'm sorry, but there is a lot of people waiting so you're just going to have to get in line again.",I've been waiting for three hours.,fru,fru
I've been waiting for three hours.,"It just happens to people all the time, I'm sorry sir, but I can't make an exception for you.",fru,fru
"It just happens to people all the time, I'm sorry sir, but I can't make an exception for you.",This is ridiculous. Come on,fru,fru
This is ridiculous. Come on,"I'm sorry, sir.",fru,neu
"I'm sorry, sir.","I cannot go back in that line. I've got stuff I need to do, I mean-",neu,fru
"I cannot go back in that line. I've got stuff I need to do, I mean-",there is nothing I can do.,fru,neu
"But my driver's license - I had to have my birth certificate to get my driver's license in the first place right, I mean this - here is my driver's license so","I know sir, but we have to have two forms. There is nothing I can do about it, I'm sorry.",xxx,fru
"I know sir, but we have to have two forms. There is nothing I can do about it, I'm sorry.",That doesn't make any sense. Why?,fru,fru
That doesn't make any sense. Why?,"I'm sorry, sir. There is nothing I can do.",fru,fru
"I'm sorry, sir. There is nothing I can do.",You- shouldn't you have like a sign or something maybe like up on the counter when you get the applica- maybe on the application,fru,ang
You- shouldn't you have like a sign or something maybe like up on the counter when you get the applica- maybe on the application,"Well, if you had checked the web site it would have said.",ang,fru
If you had checked the website it would have said that you needed two forms of identification.,"What web- I didn't go to a website - why would I need to - it's the D.M.V.. You come to the D.M.V., you wait in line for three hours, and then you go home.",fru,ang
"What web- I didn't go to a website - why would I need to - it's the D.M.V.. You come to the D.M.V., you wait in line for three hours, and then you go home.","Well, maybe you should",ang,fru
"Well, maybe you should",I waited in line now I'm ready to get my stuff and then go home.,fru,fru
I waited in line now I'm ready to get my stuff and then go home.,Right. So maybe you should go home now and get your paperwork and come back.,fru,fru
"I'm sorry sir but there's a lot of people waiting. So if you won't move out of the way, then I'm going to have to call security.","God, oh my-",fru,fru
This is ridiculous.,"I'm sorry, sir, it's not my choice.",fru,fru
I don't want you to go.,"I know, I know. I don't want to go either baby. I love you know. And I'm going to miss you a lot.",sad,sad
"I know, I know. I don't want to go either baby. I love you know. And I'm going to miss you a lot.","I'm going to miss you too; I don't know what I'm going to do here without you. It's going to be so lonely, and so hard.",sad,sad
I don't want to be a single mom.,"You won't be. I'll be back; I'll be back before you know it. All right, and",sad,sad
"You won't be. I'll be back; I'll be back before you know it. All right, and",but,sad,sad
but,and,sad,sad
and,It's dangerous; I mean how can you make sure that you'll,sad,sad
It's dangerous; I mean how can you make sure that you'll,"It's- It's dangerous anywhere, honey. I mean this is -this- I'm just going to go and we'll get it over with,",sad,fru
"I'll come back we'll have, you know, some good benefits from being in the service and then we'll live - we'll live a happy life, then the rest of us, like the three of us.",I hope so.,xxx,sad
A little family.,I hope so.,xxx,sad
You gotta,It's going to be really rough.,xxx,sad
It's going to be really rough.,"You gotta take care of our baby for me, alright?",sad,sad
"You gotta take care of our baby for me, alright?",I'll send you lots of pictures.,sad,sad
I'll send you lots of pictures.,"I hope so, because I'm not going to be able to survive without all that. I don't know what I'm going to do.",sad,sad
I've never been - I've never been away from you for two weeks let alone a year.,"Well, just promise me that you going to be safe.",sad,sad
"but, I mean, I'm going to do whatever I can and get back here as fast as I can.",It doesn't make any sense; I don't know why we have to be at war in the first place.,xxx,fru
"and it'll work out you know, go there and do that. Yeah, I'll be back","Will you write me letters, paper ones?",neu,sad
"Yeah, I'll write you every day 'cause you're the only thing that's going to be on my mind.","Our baby needs a dad; you can't leave. Okay, you can't disappear.",xxx,sad
"Our baby needs a dad; you can't leave. Okay, you can't disappear.","Our baby has a dad, alright. Daddy is going to be back soon.",sad,sad
"I want you to, you know, take lots of video; pictures and I can see you when I get back or while I'm there. I'm going to miss you.",I'll miss you too.,sad,sad
"Oh, you're never going to believe it.",What? What? You look really happy what's going on?,hap,hap
What? What? You look really happy what's going on?,"Well, I finally did it",hap,hap
"Well, I finally did it",Finally did what?,hap,hap
"Yes, I know. [LAUGHTER]","Oh, my Gosh. Well, and did",xxx,hap
"I'm so nervous you know, I'm-",Did she say yes?,xxx,hap
Did she say yes?,"Yes, she said yes. [LAUGHTER] I know",hap,hap
"Yes, she said yes. [LAUGHTER] I know",That's like the most definitive.,hap,hap
"Well, yes, I wanted it you know I guess sort of as a surprise for everyone so","Yea, I guess so. Oh, my Gosh. Was she surprised?",xxx,hap
"Yea, I guess so. Oh, my Gosh. Was she surprised?","Yes, yes. You know, she - she was like - I mean, she was happy, you know",hap,hap
Yeah.,"I - I think it was about time, I don't know, maybe. You know what, it's been it's been long enough now.",xxx,hap
So what did you do?,"Oh, well, it was -- you know, we were at this- at this concert and yeah",xxx,hap
so I-I talked to some of the crew before hand and-,"Oh, You did not.",hap,hap
"Oh, You did not.",I-I did.,hap,hap
I-I did.,"Oh, my Gosh. that's so cute",hap,hap
"So I got the band to do something, you know, like towards the end of the song I got to go up on stage and, uh","That's so romantic. Oh, my Gosh. She must have died. That's like one of those things you write into a magazine about like my boyfriend did this. Oh my God.",xxx,hap
"That's so romantic. Oh, my Gosh. She must have died. That's like one of those things you write into a magazine about like my boyfriend did this. Oh my God.","I know, so",hap,hap
"No, yes -- so",She must have flipped out.,hap,hap
She must have flipped out.,"Yea, that way she was guaranteed that she could not say no.",hap,hap
"Yea, that way she was guaranteed that she could not say no.",Right exactly because you can't say no in front of thousands of people. [LAUGHTER],hap,hap
Right exactly because you can't say no in front of thousands of people. [LAUGHTER],"No, but it was good.",hap,hap
"No, but it was good.",Did you bring her up on stage too?,hap,hap
Did you bring her up on stage too?,"Yes, yes. [LAUGHTER]",hap,hap
"Yes, yes. [LAUGHTER]","Oh, my Gosh, that's so cute.",hap,hap
"Oh, my Gosh, that's so cute.","I know it was, I don't know I was really nervous but I'm really - I'm really glad.",hap,hap
"I know it was, I don't know I was really nervous but I'm really - I'm really glad.",Are your parents excited or...?,hap,hap
Are your parents excited or...?,"Oh yes, they - they you know they love her and so I mean...",hap,hap
"I don't know either do a honeymoon like in the snow or fly down to like Australia, Southern Hemisphere, [GARBAGE] so we'll decide with that.","Ooh, that would be fun.",xxx,hap
"Do you think you'll get a house or something, like you guys are looking to buy some place or","Yea, yea, I'm not too sure where yet I guess you know, I kind of got to figure some stuff out here first",xxx,hap
but like you know it's just - I guess we're just excited right now that we'll get to continue it together.,"Oh my Gosh. I cannot believe you're getting married, that is so cool.",xxx,hap
"Oh my Gosh. I cannot believe you're getting married, that is so cool.",I know.,hap,hap
I know.,"Golly, it just makes me all like romantic inside, like I really want that to happen to me. [LAUGHTER]",hap,hap
"Golly, it just makes me all like romantic inside, like I really want that to happen to me. [LAUGHTER]","Oh, it will, obviously you know. But I know it's something - I don't know, you never really think about it happening, like before hand.",hap,hap
Did you have a good ring? You better have had a good ring.,"Sure. Oh, yes.",xxx,hap
"Oh, that's awesome.","Yes, well, Thanks, thanks. Thank you. yeah",xxx,hap
"Yes, well, Thanks, thanks. Thank you. yeah","Yay, well congratulations, that's so cool. [BREATHING] I can't wait.",hap,hap
"Yay, well congratulations, that's so cool. [BREATHING] I can't wait.",Hah.,hap,hap
"Uhm, I don't know",So how you feeling?,fru,neu
So how you feeling?,I don't know what I'm going to do about this; I mean,neu,fru
"I have got to get a job, you know? Like-","You've been doing a lot of work for it, right?",fru,neu
"You've been doing a lot of work for it, right?","Well, yea you know, I get my resumes and I mean I-",neu,fru
"Well, yea you know, I get my resumes and I mean I-","Right, so the fact you doing the best that you can is -",fru,neu
"Right, so the fact you doing the best that you can is -","I go out all the places I can, every place that'll give an interview you know.",neu,fru
"I go out all the places I can, every place that'll give an interview you know.","you know you shouldn't give yourself a hard time for that, it's the best you can.",fru,neu
"you know you shouldn't give yourself a hard time for that, it's the best you can.","But it's been so long, like what - what am I - what am I waiting -- I should probably just do something else, or",neu,fru
"But it's been so long, like what - what am I - what am I waiting -- I should probably just do something else, or","Well, but you care about what you do, right?",fru,neu
"Well, but you care about what you do, right?","I don't know, I mean why - why",neu,fru
"Yea, but it's - it's almost like it's not worth it you know, if I'm going to waste to have my life like trying to get a job, I mean once I actually do get the job it's like oh, retirement or something. I don't know, you know.","I understand that it's so frustrating but I know that you're here because you really want it you know and, and uh",fru,neu
"I don't even know if it's going to be worth it because I can't break myself in, you know like I can't - can't even get a foot in the door you know.","Well, I mean you're still here you've tried for this long so I think that says something all in itself.",fru,neu
"Well, I mean you're still here you've tried for this long so I think that says something all in itself.","Yea, it says I'm stupid enough to be trying this long and not move on somewhere else.",neu,fru
"Yea, it says I'm stupid enough to be trying this long and not move on somewhere else.",You are persistence. I mean that's important. that's,fru,neu
You are persistence. I mean that's important. that's,"I mean, I can't- I can't be persistent forever, you know, you can't not have a job forever, you know, I've got- I've got to do something, I've got to make money and get food on the table.",neu,fru
"I mean, I can't- I can't be persistent forever, you know, you can't not have a job forever, you know, I've got- I've got to do something, I've got to make money and get food on the table.","Well, you're talented so keep that in mind, you know, you shouldn't give yourself too hard of a time.",fru,neu
"Well, you're talented so keep that in mind, you know, you shouldn't give yourself too hard of a time.","I mean, maybe I'm not, you know. I don't have a job. Maybe - maybe I'm not as good as-as I thought I was and",neu,fru
I just got a whole skewed opinion on just how this is supposed to work out and,I'm sorry.,fru,sad
I'm sorry.,"I don't know, it's just not, I don't know - I don't know what to do really, you know, I'm just thinking",sad,sad
Seems like the only option at this point because obviously the outer world has just rejected me of all possible employment.,"That's- I mean. There are more factors then just whether you're good or not, you know what I mean like",fru,neu
So you should take that in consideration rather than giving yourself such a hard time.,"I know, but I mean- if that's the - you know, I'm either like the worst at this or just the most unlucky person on the planet I mean this doesn't",neu,fru
"It might be the latter I don't know because you're not the worst, I mean you're great, you very talented at what you do.",this doesn't happen to a normal person.,xxx,ang
this doesn't happen to a normal person.,"You know and the fact you still here and still cooking, like it's good that you're thinking about it, that you're reconsidering.",ang,neu
"But like, just because you're considering why it's been so difficult doesn't mean you should just stop.","I mean, I don't know, I don't see - I don't see any other way - any other way around it right now.",neu,fru
"I mean, I don't know, I don't see - I don't see any other way - any other way around it right now.","Maybe you should take a little break from it, but I don't think you should stop.",fru,neu
"Get out of town or something, I mean you need - you need to clear your head 'cause you seem like you're really frustrated about it. I mean you need to like, be excited about you're doing, rather than, you know upset.",Right. Thanks for talking to me.,xxx,sad
Hi. Um-,"Hi, can I help you?",neu,neu
"Hi, can I help you?",It seems that uh- my-my bag didn't make it out on the carousel.,neu,neu
It seems that uh- my-my bag didn't make it out on the carousel.,"Oh, did you check? Did you make sure as it went around the second time that it-",neu,neu
"Oh, did you check? Did you make sure as it went around the second time that it-","Yes, yes, it's gone around like you know twenty times. It's been about a half hour.",neu,neu
"Yes, yes, it's gone around like you know twenty times. It's been about a half hour.","Okay. Well, um- the f.",neu,neu
"Actually I'm looking here at the information, the flight that you were on we had some trouble with some of the baggage, it looks like a few peoples' bags didn't make it through. Um, so-",Okay. So what-what do I have to get you know,neu,neu
Okay. So what-what do I have to get you know,"Well, you can fill out this paperwork um- and if for some reason it shows up, we can bring it to you, but-",neu,neu
"Well, you can fill out this paperwork um- and if for some reason it shows up, we can bring it to you, but-","For some reason, so you think it won't show up?",neu,sur
"For some reason, so you think it won't show up?","Well, sometimes it's just late baggage or misplaced baggage and it comes out but it seems to be here and just I'm reading off of this that",sur,neu
What? What? How does that happen?,"Um, well, sometimes there is just difficulties with loading on to the plane. Uh- There can be a theft or uh- some sort of you know mishap with a cart or something.",xxx,neu
"Um, well, sometimes there is just difficulties with loading on to the plane. Uh- There can be a theft or uh- some sort of you know mishap with a cart or something.",I really - I really need that bag.,neu,fru
I really - I really need that bag.,"I- I- I understand, but um.",fru,neu
there are- I have important things in that bag. I've got,Okay,xxx,neu
Okay,"I mean -- I've been away for a while and- and now I've- I've gifts for- for you know friends and family I mean, I got stuff in the there",neu,fru
"I mean -- I've been away for a while and- and now I've- I've gifts for- for you know friends and family I mean, I got stuff in the there",Right.,fru,neu
It's worth a lot.,"I understand that. Um- So I'm going to put down here that you looking for your baggage, but we actually can't, uh this bag is likely not going to show up so what we're going to do-",xxx,neu
"I understand that. Um- So I'm going to put down here that you looking for your baggage, but we actually can't, uh this bag is likely not going to show up so what we're going to do-","Not going to show - well isn't like - wouldn't it just be at the airport, that, like, if it didn't get on the other plane",neu,fru
can they check there?,"Sometimes it gets stolen, sometimes it gets misplaced on another plane and",fru,neu
on another-,"they - they, it gets shipped to somewhere else and then it's stuck somewhere and then we have no way of tracking that.",xxx,neu
So we'll- what we'll do,"But we have the tags on. I mean like it wouldn't you know, if it got stuck somewhere it's like well this is nobodies bag I mean maybe you know look on the tag and",neu,ang
see where it came from originally. I mean it seems like-,Right. Like I said sometimes a theft and things happen like that but we are willing to reim-reimburse you.,fru,neu
Theft?,"Um, so.",xxx,neu
"Um, so.","Theft? Don't you know like all these people that are work - you keep like an eye on them, how can they get away with-",neu,ang
"Theft? Don't you know like all these people that are work - you keep like an eye on them, how can they get away with-","We have very tight security but we -uh- there are times when we just can't uh make sure there aren't absolutely no human error, you know",ang,neu
I'm sorry there is no guarantee on baggage.,This is unbelievable. I've got,neu,fru
you don't realize the stuff that I've got in that - I really need to get the suitcase okay,"I understand, so-",ang,neu
"I understand, so-","so if it's back there or something, if there is something you can do",neu,fru
"I need you to tell me because I really need to get the bag, okay?","all right, We've already checked back here for your baggage",fru,neu
and we will continue to look for it and because your paper-,You've already checked? Can you check again? [garbage],neu,fru
You've already checked? Can you check again? [garbage],"I've already looked, thank you very much and because we've filled out paperwork if it shows up we will send it to you but otherwise what we can do is reimburse you for fifty dollar.",fru,fru
Fifty- fifty dollars? Come on you have got to be joking.,"Well, it's- it's just sort of help with the fact uh that you lost some of your possessions and we rather do that than-",xxx,neu
"Well, it's- it's just sort of help with the fact uh that you lost some of your possessions and we rather do that than-","Uh huh, yea, lost some of my possessions, yes, so if I lost maybe a shoe that was in the suitcase and like a carry-on",neu,fru
"that might be like fifty dollars okay, but this - I- [garbage] I had like thousands of dollars worth of stuff in that suitcase.",The airline can't afford to give you everything that is in that suitcase. and so-,fru,neu
The airline can't afford to give you everything that is in that suitcase. and so-,The a- what? Talking about a core they can't afford it? I mean-,neu,ang
The a- what? Talking about a core they can't afford it? I mean-,Well because lots of people get their baggage lost and we don't want to have false claims or anything like that so we have,ang,neu
"we can give you fifty dollar to sort of make up for it, to compensate, and we can definitely let you know if it shows up but likely, more than likely-",I mean you're not helping me here. What do I have to do here? Do I need to sue the airline company is that what I should do,neu,ang
I don't believe you should sue the airline company but we do have a policy uh- in which we can reimburse you and that's all we can do and I'm sorry I've done everything I can-,All right. I'm sick- I'm sick of this all right. I'm sick of you and keep your fifty dollar.,fru,fru
All right. I'm sick- I'm sick of this all right. I'm sick of you and keep your fifty dollar.,There's other people waiting-,fru,fru
What's going on?,Kathy died last night.,xxx,sad
Kathy died last night.,"Oh my God. Oh my God, I'm so sorry.",sad,sur
"Oh my God. Oh my God, I'm so sorry.","yeah, I mean, you know, it was a -",sur,sad
"I guess we saw it coming and she lasted a lot - a lot longer than, uh, they expected but you know, I mean when it actually happens it's just a lot harder.","It doesn't make any easier, yes.",sad,sad
"It doesn't make any easier, yes.","I mean at least she was home, she wasn't in the hospital anymore,",sad,sad
"I mean at least she was home, she wasn't in the hospital anymore,","Oh, man. I'm so sorry.",sad,sad
"Oh, man. I'm so sorry.","She was with- yeah  She was with Gary, and he said that she was just sitting there and went to sleep, closed her eyes, and that was it.",sad,sad
"She was with- yeah  She was with Gary, and he said that she was just sitting there and went to sleep, closed her eyes, and that was it.","It's going to be so rough, I'm sorry.",sad,sad
"It's going to be so rough, I'm sorry.","Yes. I mean, it's not as rough on me as it is on him but",sad,sad
"God, it's you know, we've spent so much time with them it's just really surreal, really weird that we're not going to be able to see her anymore and go",Yeah.,sad,sad
Yeah.,"out to- out to dinner you know and do the troops to California, I mean.",sad,sad
"out to- out to dinner you know and do the troops to California, I mean.",Totally.,sad,sad
Totally.,"It's just that- I don't know, it's sort it's sort- of a weird thing you know",sad,sad
"It's just that- I don't know, it's sort it's sort- of a weird thing you know",Yeah,sad,sad
Yeah,"not being able to see anyone again, who knows where they really went, you know. I mean, I guess we can just hope that wherever they are now if it's anywhere that it's better I mean.",sad,sad
"not being able to see anyone again, who knows where they really went, you know. I mean, I guess we can just hope that wherever they are now if it's anywhere that it's better I mean.","Yes. Well, at least you have a lot of good memories.",sad,sad
"Yes. Well, at least you have a lot of good memories.",She was [garbage],sad,sad
She was [garbage],"She really cared about you, you know.",sad,sad
"She really cared about you, you know.","Yes, I mean she cared about all of us. She was great",sad,sad
so loving everybody you know.,And she was,sad,sad
And she was,"Gosh, I just hate I just hate to see her go.",sad,sad
"Gosh, I just hate I just hate to see her go.",Yeah.,sad,sad
Yeah.,We were all going take a trip to Europe you know.,sad,sad
We were all going take a trip to Europe you know.,Even if you still do she'll- she'll be there.,sad,sad
Even if you still do she'll- she'll be there.,Yes.  [BREATHING] God.,sad,sad
Yes.  [BREATHING] God.,Are you going to be okay?,sad,sad
Are you going to be okay?,"I just -- I just don't get it, like there is just nothing you can do about it you know, it's like just out of your control and it",sad,sad
Then she's gone.,"It's going to be okay, I promise.",sad,sad
"It's going to be okay, I promise.","Well, you know I appreciate you coming over and talking to me, I mean it definitely helps",sad,sad
"Well, you know I appreciate you coming over and talking to me, I mean it definitely helps",Sure,sad,sad
Sure,to talk to somebody but,sad,sad
to talk to somebody but,you shouldn't be alone,sad,sad
you shouldn't be alone,"It's just going to take a while, I think.",sad,sad
"It's just going to take a while, I think.",Yes.,sad,sad
Yes.,Ah.,sad,sad
Thank you.,Yes.,sad,sad
"[BREATHING] So, you know I've been hearing back from some colleges.","Oh, yeah? Have you gotten letters yet?",xxx,hap
Yeah. And guess who accepted me?,"Um, I don't know, where?",xxx,hap
"Um, I don't know, where?",U.S.C..,hap,hap
U.S.C..,"Oh, U.S.C.? Oh my Gosh, that's awesome, that was your top choice, right?",hap,sur
"yes, this is [LAUGHTER], it says U.S.C., like registrar, I mean like, I got-I got some like little letters before you know, it's like oh rejection","[LAUGHTER] It's gotta be it, like-",xxx,hap
"Oh my Gosh, that's so cool.","but big packet, big packet is nice",hap,hap
"but big packet, big packet is nice",big packet is gotta be the real thing. yeah,hap,hap
big packet is gotta be the real thing. yeah,"So it's like, yes, rip it open and there it is big - oh, yes.",hap,hap
"So it's like, yes, rip it open and there it is big - oh, yes.","Oh my Gosh. I thought there was like, maybe going to be some, like I don't know if you are going to get in or not, so I'm really glad that you did.",hap,hap
That's so cool.,"Yeah. I know, I know.",hap,hap
and everything like but,"Yeah, totally.",hap,hap
"Yeah, totally.","it was good, yeah. I mean-",hap,hap
"it was good, yeah. I mean-",So you're going to be right here in Los Angeles; that is so cool.,hap,hap
I'm looking forward to it.,So can we hang out?,hap,hap
So can we hang out?,"Hey, yes, you know that's - that's what I'm coming for.",hap,hap
"Hey, yes, you know that's - that's what I'm coming for.",Yay.,hap,hap
Yay.,You're half the reason I'm going. [LAUGHTER],hap,hap
